date,D1,D2,D3,D4,RLS,best_alpha
2015-03-01,-4.55952,15.085158620689661,2.257613793103447,-6.788959999999998,2.2294399999999976,10.0
2015-04-01,89.8508,31.63886896551724,3.943986206896554,44.01892000000001,45.83188,10.0
2015-05-01,-19.027959999999997,-74.82086896551723,-45.75302068965517,12.068760000000003,-31.09672,10.0
2015-06-01,-53.00403999999999,-72.83635862068967,-70.14902068965516,-29.813720000000004,-23.190319999999986,10.0
2015-07-01,-105.21772000000001,-39.34489655172415,-69.86731034482759,-51.17484000000001,-54.042880000000004,10.0
2015-08-01,-46.83452,-78.13667586206897,-83.26216551724139,-60.98744,14.152920000000003,10.0
2015-09-01,69.6296,34.4612275862069,32.10074482758621,-33.38976000000001,103.01936,10.0
2015-10-01,75.07071999999998,80.7251172413793,58.37867586206896,38.505559999999996,36.56515999999999,10.0
2015-11-01,-51.22999999999998,-38.851986206896555,-55.95508965517241,-52.34908,1.1190800000000145,10.0
2015-12-01,29.658520000000006,19.81953103448276,16.25524137931035,-18.52596,48.18448000000001,10.0
2016-01-01,-40.45215999999999,-41.060068965517246,-11.205889655172413,-31.83328,-8.618879999999997,10.0
2016-02-01,42.35172,39.24782068965517,50.12097931034482,23.5942,18.75752,10.0
2016-03-01,31.08832,37.79681379310345,23.004910344827586,42.57136,-11.483039999999997,10.0
2016-04-01,-44.906439999999996,-25.471696551724143,-28.24415172413793,-27.053239999999995,-17.853199999999998,10.0
2016-05-01,-2.5998799999999997,-2.261875862068966,13.089972413793102,20.352640000000005,-22.952520000000003,10.0
2016-06-01,43.87744,13.524620689655169,28.730813793103447,15.932680000000003,27.944759999999995,10.0
2016-07-01,75.21824000000001,54.34220689655173,59.30280000000002,51.80148,23.41676000000001,10.0
2016-08-01,26.217239999999997,18.621103448275854,13.750013793103449,15.808000000000002,10.409239999999997,10.0
2016-09-01,25.791800000000002,-12.476027586206898,12.578606896551722,-6.0598,31.8516,10.0
2016-10-01,-1.7965199999999983,5.328910344827586,-11.002924137931036,16.173399999999997,-17.969919999999995,10.0
2016-11-01,3.8955200000000034,27.71160000000001,-6.414827586206897,8.066000000000003,-4.170479999999998,10.0
2016-12-01,-9.53624,12.415655172413794,-7.169710344827587,5.302359999999998,-14.838599999999998,10.0
2017-01-01,48.61016,50.254303448275856,28.77173793103448,23.774120000000003,24.836039999999997,10.0
2017-02-01,56.230959999999996,59.72375172413793,50.46980689655172,35.56916000000001,20.661799999999985,10.0
2017-03-01,-23.57012,-12.345310344827588,-5.616951724137932,2.217279999999998,-25.787399999999998,10.0
2017-04-01,-25.587,-16.404289655172416,-23.384565517241377,0.8632800000000005,-26.45028,10.0
2017-05-01,48.82604000000001,-13.73015172413793,13.087531034482762,21.90788,26.918160000000015,10.0
2017-06-01,-6.098040000000001,22.681117241379308,34.941972413793096,62.63227999999998,-68.73031999999998,10.0
2017-07-01,16.529600000000002,31.42444137931034,-11.57536551724138,8.433719999999997,8.095880000000005,10.0
2017-08-01,88.27284,25.17,61.70776551724137,26.70600000000001,61.566840000000006,10.0
2017-09-01,-29.193600000000004,9.558910344827584,-12.309310344827585,-7.2505999999999995,-21.943000000000005,10.0
2017-10-01,15.603480000000001,13.824455172413794,18.067034482758622,19.61864,-4.015159999999997,10.0
2017-11-01,0.30252000000000057,29.438937931034488,32.1032275862069,-9.56076,9.863280000000001,10.0
2017-12-01,62.86012000000001,4.3597241379310345,34.76851034482759,-2.5180800000000008,65.3782,10.0
2018-01-01,98.04592,40.87291034482759,73.4130620689655,37.71612,60.32979999999999,10.0
2018-02-01,13.390320000000001,-5.964206896551726,-36.95350344827587,-25.503639999999997,38.89396,10.0
2018-03-01,38.530519999999996,3.3175448275862056,12.015062068965516,27.32796,11.202559999999998,10.0
2018-04-01,-19.941679999999998,-1.1512137931034492,-8.753172413793106,-3.7774399999999977,-16.16424,10.0
2018-05-01,-30.441680000000012,31.071393103448273,-4.993903448275864,13.602199999999998,-44.04388000000001,10.0
2018-06-01,-20.12196,6.581462068965518,7.644537931034481,9.772959999999998,-29.89492,10.0
2018-07-01,19.37048,0.7720137931034479,49.526151724137925,34.78236,-15.411879999999996,10.0
2018-08-01,-2.8926000000000003,-17.32737931034483,10.632951724137934,21.130560000000006,-24.023160000000008,10.0
