Feature,Importance,Std
成交值(百萬元)_月,0.3593928020363819,0.08358338350673253
股價漲跌(元),0.2885243926680324,0.041653529367520405
市值(百萬元),0.06834969879985517,0.07262396585916737
成交值比重％,0.028318983945787045,0.004580027272339505
市值比重％,0.024215267445291167,0.03451427526928572
流通在外股數(千股),0.022378859382675788,0.021012429651747766
股價營收比-TEJ,-0.0003854545367257156,0.00044658055112394625
收盤價(元)_月,-0.009169320092280131,0.004978693195226532
股價淨值比-TEJ,-0.0324151191490107,0.028182594185605148
成交量(百萬股)_月,-0.08749228127006563,0.022787630105984894
高低價差%,-0.41902004493415107,0.07687964496073145
週轉率％_月,-0.5918263967870396,0.12524814580957644
