Feature,Importance,Std
股價漲跌(元),0.38568136460999425,0.09591255250541024
市值(百萬元),0.27546369587405495,0.07379834682390078
成交值(百萬元)_月,0.1939506249144638,0.0549194665807818
流通在外股數(千股),0.044270011412384694,0.018918190923484277
股價淨值比-TEJ,0.03650426636261419,0.03186785902776399
市值比重％,0.012548015992730144,0.029066566153616132
股價營收比-TEJ,-0.00033972351551450066,0.0004986398503576831
成交值比重％,-0.00046476492890261677,0.00022779753618626036
收盤價(元)_月,-0.02850090795150917,0.007030926466349182
成交量(百萬股)_月,-0.04362897852549361,0.012599287330359218
週轉率％_月,-0.06611978384691339,0.10938828302855437
高低價差%,-0.26448480376177486,0.049625037824852364
