Metric,D1,D2,D3,D4
Mean,5.815333112947658,0.1953034767740097,-0.629500227985181,-1.2904134710743804
Volatility,7.561607758318501,4.108830661558126,2.9954544792424374,2.347178077643781
Mean-to-Volatility Ratio,0.7690604033977071,0.047532617637726614,-0.21015182582390107,-0.5497722918278805
