Feature,Importance
股價漲跌(元),6.714868
高低價差%,2.527231
收盤價(元)_月,0.094405815
股價淨值比-TEJ,0.022240562
週轉率％_月,0.011599054
流通在外股數(千股),0.000112372974
市值(百萬元),0.0
股價營收比-TEJ,0.0
成交值比重％,0.0
成交量(百萬股)_月,0.0
成交值(百萬元)_月,0.0
市值比重％,0.0
