Feature,Importance
股價漲跌(元),10.019642
高低價差%,1.7814435
收盤價(元)_月,0.596228
市值比重％,0.45856276
股價淨值比-TEJ,0.36162993
流通在外股數(千股),0.35449854
成交值(百萬元)_月,0.30913135
成交量(百萬股)_月,0.26568455
週轉率％_月,0.2573389
市值(百萬元),0.21222815
成交值比重％,0.21098779
股價營收比-TEJ,0.09176499
