date,R_simple
2015-03-01,1.3770000000000004
2015-04-01,42.77961355932204
2015-05-01,-31.40185423728814
2015-06-01,-56.1958372881356
2015-07-01,-66.60110847457626
2015-08-01,-67.07817966101696
2015-09-01,25.57196949152542
2015-10-01,63.06185084745765
2015-11-01,-49.63370847457627
2015-12-01,11.696145762711865
2016-01-01,-31.222677966101685
2016-02-01,38.72943050847458
2016-03-01,33.66983389830508
2016-04-01,-31.496186440677963
2016-05-01,7.174555932203392
2016-06-01,25.59077288135593
2016-07-01,60.222854237288146
2016-08-01,18.639996610169483
2016-09-01,5.041820338983052
2016-10-01,2.2606779661016954
2016-11-01,8.275016949152542
2016-12-01,0.21284745762711899
2017-01-01,37.8244372881356
2017-02-01,50.42048135593221
2017-03-01,-9.843142372881356
2017-04-01,-16.064308474576272
2017-05-01,17.825267796610163
2017-06-01,28.5347186440678
2017-07-01,11.224769491525423
2017-08-01,50.583223728813564
2017-09-01,-9.941420338983054
2017-10-01,16.79251525423729
2017-11-01,12.770979661016948
2017-12-01,24.957457627118643
2018-01-01,62.60300338983051
2018-02-01,-13.627230508474579
2018-03-01,20.511864406779655
2018-04-01,-8.464413559322033
2018-05-01,2.127650847457626
2018-06-01,0.865118644067796
2018-07-01,26.129084745762707
2018-08-01,2.991528813559322
2018-09-01,6.020033898305085
2018-10-01,-127.79436610169489
2018-11-01,54.57315254237288
2018-12-01,-18.98018644067797
2019-01-01,38.08561016949152
2019-02-01,40.549800000000005
2019-03-01,26.39737627118644
2019-04-01,25.693240677966102
2019-05-01,-11.711857627118645
2019-06-01,23.93177288135593
2019-07-01,30.441366101694918
2019-08-01,-11.525837288135591
2019-09-01,13.206081355932207
2019-10-01,27.376515254237294
2019-11-01,12.763413559322036
2019-12-01,30.952372881355934
2020-01-01,-49.32705762711864
2020-02-01,-14.153674576271186
2020-03-01,-168.15717966101693
2020-04-01,171.52459322033897
2020-05-01,30.70588474576271
2020-06-01,72.80046101694917
2020-07-01,33.19577288135592
2020-08-01,39.99481016949153
2020-09-01,-18.768091525423728
2020-10-01,14.126013559322033
2020-11-01,114.37289491525422
2020-12-01,81.16901694915255
2021-01-01,-53.99851525423729
2021-02-01,98.9764372881356
2021-03-01,75.07468474576271
2021-04-01,158.1219966101695
2021-05-01,-48.698013559322035
2021-06-01,77.73209491525427
2021-07-01,-27.72023389830509
2021-08-01,10.932996610169491
2021-09-01,-7.155081355932202
2021-10-01,4.47139322033898
2021-11-01,31.044050847457626
2021-12-01,63.231223728813575
2022-01-01,-54.615488135593225
2022-02-01,29.78860677966101
2022-03-01,16.961481355932207
2022-04-01,-46.23008135593221
2022-05-01,-7.306067796610169
2022-06-01,-75.27713898305085
2022-07-01,33.61939322033899
2022-08-01,32.22306101694915
2022-09-01,-100.05670169491526
2022-10-01,-27.507935593220353
2022-11-01,116.07750508474578
2022-12-01,-22.294179661016955
2023-01-01,51.39447457627118
2023-02-01,49.49482372881356
2023-03-01,12.985535593220337
2023-04-01,15.205759322033899
2023-05-01,66.90183050847457
2023-06-01,53.549450847457635
2023-07-01,33.08915593220339
2023-08-01,-22.187684745762713
2023-09-01,-10.3206406779661
2023-10-01,-46.25541355932203
2023-11-01,81.75498305084746
2023-12-01,35.372735593220334
2024-01-01,-32.039237288135595
2024-02-01,38.0366033898305
2024-03-01,41.215016949152535
2024-04-01,37.81287457627119
2024-05-01,45.0791186440678
2024-06-01,26.367681355932206
2024-07-01,-12.30686440677966
2024-08-01,4.076745762711866
2024-09-01,0.4258474576271197
2024-10-01,-27.14576949152542
2024-11-01,-15.60862372881356
2024-12-01,-20.4486
2025-01-01,-4.289074576271187
2025-02-01,50.795145762711854
2025-03-01,-1.2661322033898301
