Feature,Importance
股價漲跌(元),2.9957147
高低價差%,0.7006911
收盤價(元)_月,0.5844689
週轉率％_月,0.22518316
市值比重％,0.17939256
流通在外股數(千股),0.17675953
股價淨值比-TEJ,0.13709575
成交量(百萬股)_月,0.13181351
市值(百萬元),0.12061627
成交值(百萬元)_月,0.10247716
成交值比重％,0.051207364
股價營收比-TEJ,0.040440332
