date,D1,D2,D3,D4,RLS,max_depth,learning_rate,n_estimators
2015-03-01,5.54348,-9.897641379310345,0.15496551724137944,9.29064,-3.747159999999999,3,0.1,100
2015-04-01,113.04475999999998,17.688206896551723,6.45136551724138,31.886799999999994,81.15796,5,0.01,100
2015-05-01,-50.42548000000001,-39.23121428571428,-8.302879999999998,-28.169800000000006,-22.255679999999998,5,0.01,100
2015-06-01,-34.40791999999998,-68.24618571428573,-44.169639999999994,-78.76295999999999,44.35504,3,0.01,100
2015-07-01,-50.48712,-59.952124137931044,-68.93097931034482,-86.89024,36.40312000000001,3,0.1,100
2015-08-01,-49.10484000000001,-40.0891448275862,-109.69440000000002,-69.94524,20.84039999999999,3,0.1,100
2015-09-01,52.42892,17.831420689655175,29.572137931034483,2.3307200000000003,50.098200000000006,5,0.01,200
2015-10-01,84.3136,58.49371034482759,47.06954482758621,61.68519999999999,22.62840000000001,3,0.01,200
2015-11-01,-26.986079999999994,-69.07617931034484,-46.36758620689655,-56.644199999999984,29.658119999999993,3,0.01,200
2015-12-01,28.041759999999996,-6.706344827586207,0.3754344827586196,24.082960000000007,3.958799999999993,3,0.01,200
2016-01-01,-40.80176,-38.21372307692308,-0.9404250000000012,-47.885760000000005,7.084000000000003,3,0.01,200
2016-02-01,39.852239999999995,43.41811034482758,39.56540689655172,32.26611999999999,7.58612000000001,3,0.01,200
2016-03-01,33.832414285714286,10.823100000000002,41.575083870967745,46.253496774193536,-12.42108248847925,3,0.01,100
2016-04-01,-44.108239999999995,-19.085296551724134,-18.345144827586207,-43.593999999999994,-0.5142400000000009,3,0.1,100
2016-05-01,5.976720000000003,-4.036924137931033,12.46555862068966,14.095519999999995,-8.118799999999993,5,0.01,100
2016-06-01,61.77416000000001,24.760137931034485,13.493710344827585,1.9041599999999996,59.870000000000005,3,0.1,100
2016-07-01,70.56132,69.52510344827586,43.12779310344827,57.41744,13.143880000000006,3,0.01,200
2016-08-01,31.028159999999993,26.632510344827587,16.50066206896551,0.5937599999999987,30.434399999999997,3,0.01,200
2016-09-01,32.50448000000001,-10.455931034482761,-11.245117241379315,8.30436,24.200120000000013,5,0.01,100
2016-10-01,-12.474988235294118,12.155828571428572,-7.1901931034482764,5.89352,-18.36850823529412,3,0.01,100
2016-11-01,21.97748,-0.2960275862068958,1.7345379310344833,9.18036,12.797119999999996,5,0.01,100
2016-12-01,-4.89164,-8.365820689655173,6.562055172413794,7.472480000000004,-12.364120000000003,3,0.1,100
2017-01-01,26.042959999999994,41.42008888888889,55.03614193548387,28.5844,-2.541440000000007,3,0.01,100
2017-02-01,99.07307999999998,34.221848275862065,41.833986206896554,25.726840000000003,73.34623999999997,3,0.01,200
2017-03-01,-20.14344,-22.444888888888887,2.209720000000001,-0.5634580645161303,-19.579981935483872,3,0.01,200
