Feature,Importance
股價漲跌(元),6.773023
高低價差%,1.839989
收盤價(元)_月,0.59184927
成交值(百萬元)_月,0.37962505
市值比重％,0.36537597
股價淨值比-TEJ,0.3265983
流通在外股數(千股),0.29863498
成交量(百萬股)_月,0.25250313
週轉率％_月,0.20171092
成交值比重％,0.16465126
市值(百萬元),0.14911333
股價營收比-TEJ,0.08456909
