month,pos_ret_ratio,prob_pos_ratio,q_min,q_5,q_25,q_50,q_75,q_95,q_max,R_ls,R_lo,R_b
2005-02-01,0.8247422680412371,0.845360824742268,0.0256817148662376,0.09638282689073654,0.6769557318457097,0.964576823607996,0.9950297529761155,0.9984131043721758,0.9999984656042016,-1.5901443298969076,-1.4792896907216493,-1.368435051546392
2005-03-01,0.35051546391752575,0.32989690721649484,0.0014585005565969705,0.010165037297586077,0.016405928974166838,0.19762739944638752,0.6793871882728785,0.9759815875797577,0.9847905073623976,1.118663917525773,-1.392137113402062,-3.9029381443298967
2005-04-01,0.2268041237113402,0.1958762886597938,0.0008945987806144689,0.005000103729841996,0.012885724694482155,0.07582352124646488,0.40558719085952966,0.9685000974995359,0.9999998493504014,-1.1548845360824744,0.733842268041237,2.622569072164949
2005-05-01,0.5670103092783505,0.6494845360824743,0.0009709537510506778,0.013551160496231908,0.02520832506132261,0.6268467375146726,0.9758568888999452,0.9887377929295055,0.9999981022554237,0.14018453608247433,2.660984536082474,5.181784536082475
2005-06-01,0.8556701030927835,0.8865979381443299,0.02531049735692412,0.2866926382214834,0.8355883988035553,0.9912725475714688,0.9950312421881011,0.9987955474428738,0.999995122791053,2.385480412371134,2.892677319587629,3.3998742268041244
2005-07-01,0.5360824742268041,0.4845360824742268,0.0004063754620757336,0.0035009745073936115,0.027453488145558497,0.4719021714018969,0.8830497248977496,0.9978819534876139,1.0,-0.5018298969072166,-1.5280876288659795,-2.554345360824742
2005-08-01,0.29896907216494845,0.21649484536082475,8.053626003757081e-05,0.014649394183170756,0.02155710964786902,0.20222661395169067,0.4704290431186067,0.9733229960666916,0.9778643371572548,-1.6269237113402062,-0.1797835051546392,1.267356701030928
2005-09-01,0.4742268041237113,0.38144329896907214,5.988971873779694e-05,0.011860946623704,0.023697288205148652,0.374358158236635,0.7119064413928233,0.9863082493477255,0.9964700481384928,1.2721608247422678,-1.7408742268041237,-4.753909278350515
2005-10-01,0.18556701030927836,0.10309278350515463,4.013638808839019e-06,0.003544184957755266,0.00740909111800374,0.012456916035013105,0.3383437954227462,0.5590054555692588,0.9842449641177132,-6.378296907216495,0.3807103092783505,7.139717525773195
2005-11-01,0.7422680412371134,0.7628865979381443,7.983328006747791e-08,0.03323832015514733,0.5320212442654394,0.88473549241092,0.9869606889777182,0.9928704843060596,0.9998454042758452,2.703328865979382,4.055707216494846,5.408085567010309
2005-12-01,0.711340206185567,0.7346938775510204,0.0006406939188250467,0.031864349355885904,0.4671423468393606,0.8031905411416593,0.9845009540872162,0.9933585564971705,0.9998592658352697,-0.7186234693877551,-1.3528479591836735,-1.987072448979592
2006-01-01,0.3877551020408163,0.3877551020408163,0.0065543691885841795,0.01296639146802823,0.02082939312070509,0.32393918416071066,0.6575685074864444,0.9824417819992625,0.9904239802838364,1.4434275510204082,0.8618204081632653,0.2802132653061225
2006-02-01,0.42857142857142855,0.37373737373737376,0.00046387995732760195,0.006869518139636288,0.01885364313174949,0.2167882574135164,0.7346905217997023,0.999086123126931,0.9999870930245095,-0.6891434343434345,-0.8478080808080809,-1.0064727272727272
2006-03-01,0.3838383838383838,0.37373737373737376,6.300596387033696e-07,0.010896119909140859,0.02042712254157203,0.33582436084143324,0.6785992750778136,0.98874798981364,0.9999999527747825,-4.121159595959597,3.9330353535353533,11.987230303030302
2006-04-01,0.9292929292929293,0.9595959595959596,0.196839320164421,0.5927688456767856,0.9122919241313096,0.9817753172742194,0.9906492713908359,0.9975494010324799,0.9999808655884681,0.12741616161616137,0.514712121212121,0.9020080808080807
2006-05-01,0.37373737373737376,0.31313131313131315,4.161130133237724e-12,0.00045632756208873295,0.013399386189787418,0.156526713212613,0.5900355568684076,0.982909241028028,0.9925011138271386,1.1356898989898991,0.2712333333333333,-0.5932232323232326
2006-06-01,0.5050505050505051,0.47474747474747475,0.00047399729806300216,0.005254384315890646,0.09840216555949992,0.48863032726917366,0.880918189639445,0.9792455233261511,0.9914578565236917,-0.8036121212121211,-1.7631666666666663,-2.722721212121212
2006-07-01,0.25252525252525254,0.1919191919191919,2.012863598701021e-06,0.006482770344317147,0.0153308991881733,0.16578115175820654,0.4146015634399021,0.9706533383023099,0.9856135309539034,0.2661717171717172,0.37496060606060605,0.48374949494949515
2006-08-01,0.5151515151515151,0.5252525252525253,0.003344825090070414,0.008551924610329735,0.10121902606344783,0.5729769712237596,0.9723000976624896,0.9979452262295666,0.9993728008796604,-0.6721929292929294,2.3656757575757577,5.403544444444444
2006-09-01,0.7777777777777778,0.8383838383838383,0.01504525446977902,0.038306645811420986,0.6631459843750867,0.9862622604755779,0.9945793073867417,0.9995088170094444,0.9999978900554928,2.915062626262626,3.3762121212121214,3.837361616161617
2006-10-01,0.6666666666666666,0.66,0.015326957710990347,0.04238045298447412,0.42229733386956975,0.7394417349601636,0.985677424061842,0.9940584410547413,0.9998436020275919,3.108883,5.669414999999999,8.229947000000001
2006-11-01,0.87,0.9,0.11267693742068113,0.29297822167215193,0.7988468738851716,0.9883231003272801,0.9945996370723589,0.9979576549463243,0.9999928222701779,7.027894,7.123192,7.21849
2006-12-01,0.84,0.9,0.015296594947958778,0.03442103812868644,0.8408116297604988,0.976941571107153,0.9903786278144943,0.9985843806632143,0.9998692904841493,-1.800954,-2.1184,-2.4358459999999997
2007-01-01,0.36,0.37,4.2488676777053084e-08,0.003976406102393685,0.025877038657209948,0.20757538980455603,0.7151289030185721,0.9739978547226343,0.9974867067153221,-0.804628,1.195052,3.194732
2007-02-01,0.67,0.8,0.028124422823105094,0.035527796930295515,0.6040469120167872,0.9201970116556504,0.9916726083984322,0.9964254540104706,0.9996174963485926,0.20481699999999992,0.9484840000000001,1.692151
2007-03-01,0.43,0.49,2.8100915757614344e-06,0.004164435944921885,0.0261433752552128,0.47867519034206074,0.9208894634946011,0.996517853593383,0.9999473335312642,-0.1537479999999999,0.18361,0.520968
2007-04-01,0.47,0.48,0.0044787659650845245,0.015089656433746525,0.04734970586596005,0.4265801066702755,0.9790159756527783,0.9932469733568572,0.9995234589397409,0.008319000000000094,1.588092,3.167865
2007-05-01,0.53,0.53,0.015417955364678219,0.019275358263599548,0.20050231869803614,0.5134587380211417,0.7829576133525925,0.9886336613393768,0.9944207856634917,1.536842,5.594428999999999,9.652016
