date,D1,D2,D3,D4,RLS,max_depth,learning_rate,n_estimators
2015-03-01,6.67474,1.000137931034483,-1.369410344827586,-5.8664266666666665,12.541166666666665,7,0.1,200
2015-04-01,16.07275333333333,3.593979310344827,-0.045717241379310346,-5.480533333333333,21.553286666666665,5,0.1,200
2015-05-01,7.524636666666667,-1.7938724137931035,-4.981458620689655,-11.26798,18.792616666666667,7,0.1,200
2015-06-01,2.3992,-2.7391689655172415,-5.555151724137931,-12.801103333333334,15.200303333333334,7,0.1,200
2015-07-01,3.4640666666666666,-3.263393103448276,-6.949131034482758,-15.422323333333333,18.88639,7,0.1,200
2015-08-01,5.620360000000001,-4.631165517241379,-7.701103448275862,-15.685903333333332,21.306263333333334,7,0.1,200
2015-09-01,10.872643333333334,3.404548275862069,-0.4095931034482759,-5.385843333333333,16.258486666666666,7,0.1,200
2015-10-01,14.158356666666666,6.44801724137931,3.22481724137931,-2.83849,16.996846666666666,5,0.1,200
2015-11-01,4.32628,-2.5532275862068965,-6.099324137931035,-12.230973333333333,16.557253333333332,7,0.1,200
2015-12-01,9.847109999999999,1.5248896551724138,-1.2284137931034484,-6.299966666666666,16.147076666666663,7,0.1,200
2016-01-01,4.577286666666667,-1.052437931034483,-4.531096551724138,-9.41397,13.991256666666668,5,0.1,200
2016-02-01,9.967793333333333,3.8232275862068965,1.219689655172414,-2.1479666666666666,12.11576,7,0.1,200
2016-03-01,9.726833333333333,4.613031034482758,1.073310344827586,-4.187406666666666,13.91424,7,0.1,200
2016-04-01,4.541103333333334,-1.2529,-4.267662068965517,-9.52831,14.069413333333333,5,0.1,200
2016-05-01,8.2088,1.970158620689655,-1.3408724137931034,-6.465450000000001,14.67425,7,0.1,200
2016-06-01,10.25338,2.370448275862069,-0.5431827586206897,-3.63165,13.88503,7,0.1,200
2016-07-01,11.44081,6.161058620689656,3.145496551724138,-0.6974333333333333,12.138243333333333,5,0.1,200
2016-08-01,10.256483333333334,1.1470068965517242,-1.1275655172413792,-4.1655,14.421983333333333,7,0.1,200
2016-09-01,7.680883333333333,0.5405862068965517,-1.303951724137931,-5.290366666666667,12.971250000000001,7,0.1,200
2016-10-01,6.3432466666666665,0.9399034482758621,-1.040048275862069,-5.505439999999999,11.848686666666666,7,0.1,200
2016-11-01,10.683693333333334,1.5011689655172415,-2.244448275862069,-7.252823333333334,17.93651666666667,5,0.1,200
2016-12-01,4.87896,1.5374931034482757,-0.6455,-5.671453333333333,10.550413333333333,5,0.1,200
2017-01-01,12.78134,2.545486206896552,0.1729896551724138,-3.01119,15.79253,7,0.1,200
2017-02-01,12.202646666666668,4.4392172413793105,2.160468965517241,-2.05563,14.258276666666667,7,0.1,200
2017-03-01,4.25665,0.7122862068965516,-2.0297172413793105,-6.209496666666666,10.466146666666667,7,0.1,200
2017-04-01,4.244066666666667,-0.36965862068965516,-2.7273655172413793,-6.5158,10.759866666666667,7,0.1,200
2017-05-01,10.00653,1.697455172413793,-0.9525482758620689,-4.88388,14.89041,7,0.1,200
2017-06-01,9.127416666666667,2.635403448275862,0.6373586206896552,-2.93804,12.065456666666666,7,0.1,200
2017-07-01,6.14588,1.239910344827586,-0.5496241379310345,-3.1339266666666665,9.279806666666666,7,0.1,200
2017-08-01,15.449886666666666,2.319010344827586,0.6183344827586207,-1.7092633333333334,17.15915,7,0.1,200
2017-09-01,7.638166666666666,-0.6698862068965518,-2.2879793103448276,-8.037473333333333,15.675639999999998,7,0.1,200
2017-10-01,7.25377,2.0802275862068966,-0.07557241379310345,-3.68739,10.94116,5,0.1,200
2017-11-01,10.286376666666666,2.242286206896552,-1.086,-7.218076666666667,17.50445333333333,5,0.1,200
2017-12-01,9.53768,2.754389655172414,0.5522862068965517,-4.553633333333334,14.091313333333334,7,0.1,200
2018-01-01,19.153723333333332,4.12656551724138,1.2577344827586208,-3.8386733333333334,22.992396666666664,7,0.1,200
2018-02-01,5.925733333333333,-0.6677241379310345,-2.8884310344827586,-6.95482,12.880553333333332,7,0.1,200
2018-03-01,11.489333333333333,1.4115862068965517,-0.8227068965517241,-5.33525,16.824583333333333,7,0.1,200
2018-04-01,6.65933,0.7307137931034483,-1.7881620689655173,-8.411576666666667,15.070906666666666,7,0.1,200
2018-05-01,7.706866666666667,1.5121172413793103,-0.8634999999999999,-7.636466666666666,15.343333333333334,7,0.1,200
2018-06-01,6.739746666666666,0.8870103448275862,-1.3389206896551724,-6.019333333333333,12.759079999999999,5,0.1,200
2018-07-01,8.771216666666668,2.8607482758620693,-0.36723448275862064,-2.61708,11.388296666666667,7,0.1,200
2018-08-01,8.14558,0.1690103448275862,-1.1086068965517242,-6.256746666666667,14.402326666666667,7,0.1,200
2018-09-01,8.585583333333334,0.8175,-0.9016551724137931,-6.531000000000001,15.116583333333335,7,0.1,200
2018-10-01,-2.0867,-8.386827586206897,-12.326324137931033,-19.778740000000003,17.692040000000002,7,0.1,200
2018-11-01,15.92352,4.716865517241379,1.2495068965517242,-3.8031466666666662,19.726666666666667,5,0.1,200
2018-12-01,5.310273333333333,-0.22611379310344826,-2.618858620689655,-8.781416666666667,14.09169,7,0.1,200
2019-01-01,10.42265,3.7045172413793104,1.1775758620689656,-2.65839,13.081040000000002,5,0.1,200
2019-02-01,9.526896666666666,3.552210344827586,1.619306896551724,-1.2347066666666668,10.761603333333333,7,0.1,200
2019-03-01,9.631079999999999,2.351420689655172,0.006024137931034474,-3.2574699999999996,12.888549999999999,7,0.1,200
