Feature,Importance,Std
股價漲跌(元),0.9920049076464723,0.1720278877157284
高低價差%,0.6123403897333898,0.056275764888389784
收盤價(元)_月,0.12016398551263419,0.0110155178836568
週轉率％_月,0.08478481694747948,0.04175138993654452
市值比重％,0.07361424697815849,0.013379607579502817
股價淨值比-TEJ,0.06706185379889043,0.01726188564282953
流通在外股數(千股),0.04217668930941608,0.016660588690083897
成交值(百萬元)_月,0.033427520050731185,0.010808003524403129
市值(百萬元),0.030505542706974885,0.00920323749469522
股價營收比-TEJ,0.011975095260068014,0.0027852552989230473
成交值比重％,0.0027541532925075773,0.006388699013551069
成交量(百萬股)_月,-0.002553171700189272,0.021348369623986705
