date,R_simple
2015-03-01,0.11475000000000003
2015-04-01,3.5649677966101696
2015-05-01,-2.6168211864406783
2015-06-01,-4.682986440677967
2015-07-01,-5.550092372881355
2015-08-01,-5.589848305084747
2015-09-01,2.1309974576271182
2015-10-01,5.255154237288138
2015-11-01,-4.1361423728813556
2015-12-01,0.9746788135593221
2016-01-01,-2.601889830508474
2016-02-01,3.2274525423728813
2016-03-01,2.805819491525423
2016-04-01,-2.6246822033898303
2016-05-01,0.5978796610169493
2016-06-01,2.132564406779661
2016-07-01,5.018571186440679
2016-08-01,1.553333050847457
2016-09-01,0.42015169491525434
2016-10-01,0.1883898305084746
2016-11-01,0.6895847457627119
2016-12-01,0.01773728813559325
2017-01-01,3.152036440677967
2017-02-01,4.201706779661017
2017-03-01,-0.8202618644067796
2017-04-01,-1.338692372881356
2017-05-01,1.485438983050847
2017-06-01,2.3778932203389833
2017-07-01,0.9353974576271186
2017-08-01,4.215268644067797
2017-09-01,-0.8284516949152545
2017-10-01,1.3993762711864408
2017-11-01,1.0642483050847458
2017-12-01,2.0797881355932204
2018-01-01,5.216916949152543
2018-02-01,-1.1356025423728815
2018-03-01,1.7093220338983046
2018-04-01,-0.7053677966101694
2018-05-01,0.1773042372881355
2018-06-01,0.07209322033898301
2018-07-01,2.177423728813559
2018-08-01,0.24929406779661015
2018-09-01,0.5016694915254237
2018-10-01,-10.649530508474575
2018-11-01,4.547762711864407
2018-12-01,-1.5816822033898308
2019-01-01,3.1738008474576267
2019-02-01,3.37915
2019-03-01,2.1997813559322035
2019-04-01,2.1411033898305085
2019-05-01,-0.9759881355932204
2019-06-01,1.9943144067796608
2019-07-01,2.5367805084745765
2019-08-01,-0.9604864406779658
2019-09-01,1.1005067796610173
2019-10-01,2.281376271186441
2019-11-01,1.0636177966101696
2019-12-01,2.579364406779661
2020-01-01,-4.11058813559322
2020-02-01,-1.179472881355932
2020-03-01,-14.013098305084744
2020-04-01,14.293716101694914
2020-05-01,2.558823728813559
2020-06-01,6.066705084745764
2020-07-01,2.76631440677966
2020-08-01,3.3329008474576276
2020-09-01,-1.564007627118644
2020-10-01,1.1771677966101695
2020-11-01,9.531074576271186
2020-12-01,6.7640847457627125
2021-01-01,-4.499876271186441
2021-02-01,8.248036440677966
2021-03-01,6.256223728813559
2021-04-01,13.176833050847458
2021-05-01,-4.05816779661017
2021-06-01,6.4776745762711885
2021-07-01,-2.310019491525424
2021-08-01,0.9110830508474576
2021-09-01,-0.5962567796610169
2021-10-01,0.372616101694915
2021-11-01,2.5870042372881357
2021-12-01,5.269268644067798
2022-01-01,-4.551290677966102
2022-02-01,2.482383898305084
2022-03-01,1.4134567796610173
2022-04-01,-3.852506779661017
2022-05-01,-0.6088389830508474
2022-06-01,-6.273094915254237
2022-07-01,2.801616101694916
2022-08-01,2.6852550847457626
2022-09-01,-8.338058474576272
2022-10-01,-2.292327966101696
2022-11-01,9.673125423728814
2022-12-01,-1.857848305084746
2023-01-01,4.282872881355932
2023-02-01,4.124568644067796
2023-03-01,1.0821279661016947
2023-04-01,1.2671466101694915
2023-05-01,5.575152542372882
2023-06-01,4.462454237288136
2023-07-01,2.7574296610169493
2023-08-01,-1.8489737288135595
2023-09-01,-0.8600533898305084
2023-10-01,-3.854617796610169
2023-11-01,6.812915254237288
2023-12-01,2.9477279661016946
2024-01-01,-2.669936440677966
2024-02-01,3.1697169491525417
2024-03-01,3.434584745762711
2024-04-01,3.1510728813559328
2024-05-01,3.756593220338983
2024-06-01,2.1973067796610173
2024-07-01,-1.025572033898305
2024-08-01,0.33972881355932216
2024-09-01,0.035487288135593306
2024-10-01,-2.2621474576271186
2024-11-01,-1.3007186440677967
2024-12-01,-1.70405
2025-01-01,-0.3574228813559322
2025-02-01,4.2329288135593215
2025-03-01,-0.10551101694915252
