Feature,Importance
高低價差%,3.0848303376747355
股價漲跌(元),1.448061140867181
週轉率％_月,0.9514545917942288
成交值(百萬元)_月,0.8474741213194305
股價淨值比-TEJ,0.6761230682167343
市值(百萬元),0.46489204742123835
成交量(百萬股)_月,0.4068091922654523
流通在外股數(千股),0.1911812112414245
市值比重％,0.18408491635784166
收盤價(元)_月,0.1177982687819745
成交值比重％,0.0575187122499315
股價營收比-TEJ,0.03402188588269659
